company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""American Electric Power """,21672791,2020-05-22 15:45:12+00:00, ,1263858458954260485,en,5,0,0,1,Hootsuite Inc.,"Let's hear it for American Electric Power - AEP! We received a $2,500 donation  to go towards COVID-19 Response Relief and we couldn't be happier! https://t.co/mw6p1NIPWS"
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""American Express""",57687059,2020-03-30 22:33:00+00:00, ,1244754526743166978,en,0,0,1,0,TweetDeck,"Capital One is offering relief for its cardholders amid the coronavirus pandemic. American Express, Apple, Chase and Citi recently made similar announcements. https://t.co/qTobVFl0m9"
"""American Express""",4168025542,2020-03-26 15:38:58+00:00, ,1243200783501279232,en,0,0,0,0,Twitter Web Client,"Bank of America has joined other card issuers, such as Citi, Chase, Capital One, Discover, Apple and American Express, in offering emergency support to its consumer and small business clients. https://t.co/SfC0zUc7LQ"
"""American Express""",195065032,2020-03-26 14:33:07+00:00, ,1243184211445444608,en,0,0,0,0,dlvr.it,American Express is waiving late fees and lowering interest rates for cardholders impacted by the coronavirus https://t.co/iktgn2WW8C #management https://t.co/zEDBcO3xrg
"""American Express""",890794280691814404,2020-03-26 14:24:36+00:00, ,1243182066151219201,en,0,0,0,0,dlvr.it,American Express is waiving late fees and lowering interest rates for cardholders impacted by the coronavirus https://t.co/t6bqrduK4t https://t.co/kTSOFCH2Ic
"""American Express""",42645874,2020-03-26 02:58:20+00:00, ,1243009362131640321,en,0,0,0,0,Patrick Bucquet,"American Express launches points donation matching programme to sup...
 https://t.co/GGwrR4DPbV - thanks @Finextra for sharing #fintech"
"""American Express""",245472048,2020-03-25 17:01:32+00:00, ,1242859172426698753,en,0,0,0,0,dlvr.it,American Express is Matching Donations to Feeding America up to $1M to Feed Communities Impacted by COVID-19 when Card Members Use Membership Rewards® Points Toward Their Donations https://t.co/S0BoiTYP7h
"""American Express""",2820538226,2020-03-25 13:45:38+00:00, ,1242809873496244226,en,0,0,0,0,Twitter Web App,".@AmericanExpress launches points donation matching programme to support #Covid19 relief efforts.

https://t.co/H1Bluf2ueI"
"""American Express""",21287212,2020-03-25 12:19:51+00:00, ,1242788284943740928,en,0,0,0,0,Fintechbot Publisher,American Express launches points donation matching programme to support Covid-19 relief efforts https://t.co/Dc97DGTxok by @Finextra
"""American Express""",17002481,2020-03-25 12:18:10+00:00, ,1242787861017047041,en,4,0,0,5,Finx News Tweets,Company announcement: American Express launches points donation matching pr... https://t.co/0p0KDCFQ4L #fintech
"""American Express""",292687408,2020-03-24 23:00:46+00:00, ,1242587187159486464,en,0,0,0,0,Twitter Web App,"Coronavirus: Bank of America Waives Fees and Defers Payments for Cardholders. Bank of America cardholders are receiving financial relief during coronavirus. Citi, Chase, Capital One, Discover, Apple and American Express have made similar announcements. https://t.co/fCQeowyCYB"
"""American Express""",825783812227489794,2020-03-23 13:13:34+00:00, ,1242077025059438594,en,6,1,1,3,Twitter for Android,"21/ #COVIDー19
For credit cardholders, here’s what each issuer stated for: American Express, Bank of America, Barclays, Capital One, Citi, Discover, Goldman Sachs (Apple Card), Synchrony, U.S. Bank, Wells Fargo.

#coronavirus #COVID19
#DAT #Covid_19 #COVID
https://t.co/4HURUfxyzm"
"""American Express""",7262602,2020-03-21 18:28:53+00:00, ,1241431601717735424,en,0,0,0,0,LinkedIn,"@JPMorgan Chase &amp; Co. has joined a handful of other credit card issuers, like Citi, Apple and American Express, in offering assistance to those financially burdened by the #coronavirus pandemic. https://t.co/6mCuIvaJup"
"""American Express""",188366592,2020-03-19 19:47:04+00:00, ,1240726503928803331,en,0,0,0,0,Twitter for Android,"Just got off the phone with American Express

They are waiving payments, interest, late fees, all fees for 2 payment cycles for anyone that calls in affected by Covid-19. 

Please call all your credit card companies, loans, mortgages and ask for their Covid-19 relief program"
"""American Express""",590746597,2020-03-19 19:00:06+00:00, ,1240714681213317121,en,0,0,0,0,dlvr.it,American Express is the latest card issuer to offer temporary relief for its cardholders amidst the coronavirus pandemic. Apple made a similar announcement earlier this week. https://t.co/ubqAGshSp7 https://t.co/1fQBOxuQUX
"""American Express""",936769436232704000,2020-03-19 03:40:37+00:00, ,1240483286188806144,en,0,0,0,0,Twitter for iPhone,"American Express is the latest card issuer to offer temporary relief for its cardholders amidst the coronavirus pandemic. Apple made a similar announcement earlier this week.

#CoronavirusOutbreak  https://t.co/i53isvZsMl"
"""American Express""",207334451,2020-03-16 11:56:47+00:00, ,1239520989291167745,en,0,0,0,0,Twitter for iPhone,@AmericanExpress i need to cancel a flight I booked through American Express travel. Please DM me for assistance. I am canceling due to COVID19
"""American Express""",417407441,2020-04-29 08:34:37+00:00, ,1255415175978594312,en,1,0,1,0,Twitter Web App,@goldfinchtweets @KellyMDoran @NYCMayor @NYGovCuomo @NYHomeless @nychyorg @HealthPeopleOrg @housingworks @humandotnyc @ICAP_ColumbiaU @nylag @NYC_Relief @LegalAidNYC @TAGTeam_Tweets @uocnyc Maybe @HiltonHotels &amp; @AmericanExpress could help healthcare workers who aren't using the free rooms further by letting them choose to offer the homeless the rooms instead so they don't catch or spread the virus &amp; strain hospitals less too: https://t.co/pCMsbLMll2
"""American Express""",1151528580117082112,2020-04-09 17:51:56+00:00, ,1248307675529650177,en,1,0,0,0,Twitter Web App,"Good Hospitality is proud to be partnering with Hilton and American Express to donate hotel rooms to medical professionals working on the frontlines of the COVID-19 crisis.

https://t.co/addGaOzmL6 https://t.co/idi9lbFzhk"
"""American Express""",17824099,2020-04-07 11:39:57+00:00, ,1247489287265927168,en,230,16,50,48,Twitter Web App,"Tom Friedman: America can solve its coronavirus and political crises by moving left on relief, health care, etc.

Also Tom Friedman: The way to do that is a Cabinet with Mitt Romney, Mike Bloomberg and the CEOs of Walmart and American Express https://t.co/KSbo1A6PSC"
"""American Express""",245472048,2020-04-06 20:03:02+00:00, ,1247253502432120833,en,0,0,0,0,dlvr.it,Hilton and American Express to Donate Up to 1 Million Rooms to Frontline Medical Professionals During COVID-19 Crisis https://t.co/80Fc2Wbp8t
"""American Express""",41085374,2020-04-06 16:00:14+00:00, ,1247192399018897409,en,0,0,0,0,Twitter Web App,"Hilton and American Express to donate 1 million rooms to medical professionals During COVID-19 Crisis
 
https://t.co/CmgFK0cnJG 

#Hilton #AmericanExpress #donations #rooms #medical #medicaprofessionals #crisis #Covid19 #coronavirus #relief @HiltonHotels @AmericanExpress https://t.co/OJMjkWkZvC"
"""American Express""",902596709611692032,2020-04-03 23:51:21+00:00, ,1246223796975161346,en,3,0,0,1,Twitter for Android,"For credit cardholders, here’s what each issuer stated for: American Express, Bank of America, Barclays, Capital One, Citi, Discover, Goldman Sachs (Apple Card), Synchrony, US Bank, Wells Fargo.

#coronavirus #COVID19
#DAT #Covid_19 #COVID #COVID19Pandemic
https://t.co/lXi8zO2kql"
"""American Express""",336148231,2020-04-02 03:06:48+00:00, ,1245548205854437378,en,0,0,0,0,Twitter Web App,"My American Express is waiving interest and late fees for not making payment, I just had to contact customer support via chat. Do your homework and contact your credit card companies!

https://t.co/8dnaPtRHNv"
"""American Express""",1279212096,2020-04-01 19:11:12+00:00, ,1245428517942095875,en,3,1,1,0,Twitter for iPhone,"Paying bills and taking note of huge corporations that are Not offering any Covid-19 relief to customers other than online services that were already there. 

American Express
Verizon Wireless 
Capital One 
Chase 
👆🏼Gonna Remember This

But First National &amp; Bank of America are."
"""American Express""",1233739911284416513,2020-05-26 12:01:10+00:00, ,1265251630808797186,en,2,1,2,1,Twitter for Android,"@amrit_sbagga @meenakshig89 @reenasingh81 @MiddleClassAsso @AdvAmitSahni @A_R_S_H_A_D_8 @VermaSuraj6 @garamrasgulla @Pravinkks American Express heard our cries and reversing the interest they charged in moratorium. Hope other banks will take this measure as well

https://t.co/41k5o6YkwV"
"""American Express""",1233739911284416513,2020-05-26 06:33:14+00:00, ,1265169104387944449,en,7,0,0,2,Twitter for Android,"Well a small cum big relief from American Express.
My interest accrued on my American  Express credit card has been reversed by bank to give relief
If any of u holding Amex cards business or personal can contact bank for same. Here is announcement on CNBC https://t.co/41k5o6YkwV"
"""American Express""",246138191,2020-05-17 18:20:58+00:00, ,1262085719146758150,en,0,0,0,0,Twitter Web Client,"American Express, Hilton, and World Central Kitchen Partner to Support Frontline Healthcare Workers With Daily Meals https://t.co/o4FLRJmjU4"
"""American Express""",1151528580117082112,2020-05-11 14:28:05+00:00, ,1259852785090256898,en,0,0,0,0,Twitter Web App,"GHS has partnered with Hilton and American Express to aid medical professionals during the COVID-19 crisis with free rooms.

Thank you Dr.Evans for your hard work and dedication to caring for patients. We appreciate all that you do and have enjoyed having you as a guest! https://t.co/ZIgw8ytD6r"
"""American Express""",3027055460,2020-05-11 12:12:17+00:00, ,1259818607598546945,en,0,0,0,0,Twitter Web Client,"American Express, Hilton, and World Central Kitchen Partner to Support Frontline Healthcare Workers With Daily Meals https://t.co/T0DXW3ThSj"
"""American Express""",111062175,2020-05-09 12:35:32+00:00, ,1259099685513502720,en,0,0,0,0,IFTTT,"American Express, Hilton, and World Central Kitchen Partner to Support Frontline Healthcare Workers https://t.co/tp5I6t0OvB"
"""American Express""",975644222484307969,2020-05-06 20:32:19+00:00, ,1258132508887089152,en,0,0,0,0,Twitter Web App,"""Coinbase has scooped up employees from the now-defunct TokenAnylist startup while BlockFi has poached two executives from Credit Suisse and American Express to join its lending firm.""
#blockchain #covid19relief 
https://t.co/4e9e7EiJBC"
"""American Express""",105562852,2020-05-05 17:08:04+00:00, ,1257718720757194754,en,0,0,0,0,eClincher,"American Express, Hilton, and World Central Kitchen Partner to Support Frontline Healthcare Workers With Daily Meals https://t.co/dPnEgAGNAf"
"""American Express""",954165926,2020-05-05 17:01:33+00:00, ,1257717079240609793,en,0,0,0,0,dlvr.it,"American Express, Hilton, and World Central Kitchen Partner to Support Frontline Healthcare Workers With Daily Meals https://t.co/HKOOiJr0T3 https://t.co/pXRlNremcw"
"""American Express""",62911603,2020-05-04 17:44:54+00:00, ,1257365599438753794,en,0,0,0,0,Liveworld Twitter Integration,"@customjewel I am sorry to hear this, unless you requested relief due to COVID-19 these fees are systematically issued. I would like to review your account to see if I can further assist you. What type of American Express card do you have?"
"""American Express""",992454140,2020-05-01 18:36:16+00:00, ,1256291364741902337,en,1,0,0,0,Twitter for Mac,Amex has now done more coronavirus aid for me than the federal government https://t.co/XCDJxc98zx
"""American Express""",179600562,2020-11-18 18:00:53+00:00, ,1329122418389082115,en,0,0,0,0,Constant Contact,"We celebrate Small Business Saturday on November 28, and you can invite
your customers to shop small on this day and all year round with these free,
easy-to-create marketing materials from American Express: https://t.co/4ekzJ2l0aj https://t.co/dwnMYzgxRJ"
"""American Express""",817105392929009664,2020-12-23 16:51:44+00:00, ,1341788593212301316,en,0,0,0,0,Twitter Web App,"@SecPompeo @USTreasury If the Democrats steal this election, Visa restrictions won't matter - as evidenced by their Covid 'relief' bills they'll just give them American Express cards .."
"""American Express""",23293722,2020-12-18 23:43:03+00:00, ,1340080164139622400,en,1,0,1,0,Twitter Web App,"@SkreeBorg I wish, I love my job otherwise but it doesn't give me enough hours. I had to have American Express give me COVID relief and a temporarily lower APR because otherwise I wouldn't even be able to afford to pay that"
