company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""adobe""",468614222,2020-03-24 01:04:02+00:00, ,1242255822605910016,en,7,1,1,3,Twitter for iPhone,Hey designer friends 👋 Adobe will credit 3 free months to your CC subscription if you chat with them and ask for it as part of their coronavirus relief plan
"""adobe""",14807952,2020-03-24 00:39:01+00:00, ,1242249525206470656,en,0,0,0,0,LinkedIn,Proud that Adobe has announced a $3 million commitment to trusted organizations that are providing vital assistance to our neighbors – locally and globally. #adobelife https://t.co/BpbMdK6Y7G
"""adobe""",15310534,2020-03-23 21:45:18+00:00, ,1242205810156924928,en,1,0,0,0,Twitter Web App,#coronavirus relief: $11 million fund launches in Santa Clara County https://t.co/iGXf3O3LSA via @mercnews @sliccardo #MondayMotivation @HPE_News #SanJose @Adobe @Facebook
"""adobe""",15367649,2020-03-23 18:19:51+00:00, ,1242154104962445317,en,3,0,0,1,Twitter for iPhone,@DSTNHome @sacredheartcs @Cisco @westerndigital @Adobe @zoom_us @Broadcom @MicronTech @Facebook @Infosys @silverlake_news @HPE @siliconvalleycf @SCCgov @CityofSanJose All the information about the assistance: https://t.co/C9n9lKVSPO
"""adobe""",1058175241699000320,2020-03-23 17:48:30+00:00, ,1242146216017670144,en,19,0,1,11,Twitter Web App,"Low-income families who lost income because of #COVID19 will qualify for financial assistance through a new emergency program funded in part by: @Cisco @westerndigital @DSTNHome @Adobe @Facebook

$9+ mill in funding has been raised. Live press conference at 11:15 a.m. https://t.co/FTvMqIy0IG"
"""adobe""",166255020,2020-03-23 17:01:34+00:00, ,1242134402978611200,en,47,13,5,35,Twitter Web App,We've joined @sacredheartcs to launch a #COVID assistance program for low-income Santa Clara County residents: https://t.co/iT4v4cGQwV. TY @Cisco @westerndigital @Adobe @zoom_us @Broadcom @MicronTech @Facebook @Infosys @silverlake_news @HPE @siliconvalleycf @SCCgov @CityofSanJose https://t.co/Ii6o0QKp5x
"""adobe""",15527111,2020-03-20 21:33:59+00:00, ,1241115796497039360,en,7,0,0,1,Hootsuite Inc.,Many around the world are facing challenges in meeting their basic needs. We are proud to announce a $3 million commitment to trusted organizations that are providing vital assistance to our neighbors—locally and globally. https://t.co/eVc6xCyQZl
"""adobe""",754976,2020-03-20 17:48:02+00:00, ,1241058935022522369,en,9,0,0,0,Twitter Web App,Proud of all of the @Adobe employees working hard right now to make #AdobeSummit Live the absolute best it can be. I'm just as proud of the efforts Adobe makes to provide assistance during this crazy time https://t.co/u0uE1aF4Iw
"""adobe""",9909802,2020-03-20 17:38:26+00:00, ,1241056520957095936,en,36,0,1,7,Twitter Web App,"Adobe will be matching – and doubling – employee contributions to organizations that are providing #COVID relief. 🙌

To help reach our goal, I will be making a donation of $250 when the window opens on March 23rd. https://t.co/80R0wsRaR4"
"""adobe""",14764591,2020-03-20 17:34:47+00:00, ,1241055600173178882,en,172,2,4,29,Twitter Web App,Wow! Today @adobe announced a $2 million donation to two COVID-19 relief efforts. Proud to work for an amazing company!https://t.co/xvuA5hQpYe
"""adobe""",779093905,2020-03-20 17:00:24+00:00, ,1241046947831693314,en,0,0,0,0,Twitter Web App,"Trump Touts Possible 'Game-Changer' Treatment for Coronavirus, Congress Aid Could Put $1,200 in Your Pocket
https://t.co/NZ8ZBhzvVT"
