company names
1&1
10X Genomics
1-800-Flowers
1Life Healthcare
1st Source
2U
360 DigiTech
3i Group
3M
3P Learning
4imprint Group
51job
9F
A G Barr
A O Smith
A2 Milk Company
A2A
AAK
Aalberts
Aaon
AAR Corp
Aareal Bank
AB InBev
AB Science
Abb
Abbott
Abbvie
Abcam
ABC-Mart
Abengoa
Abercrombie & Fitch
ABIOMED
ABM Industries
ABN Amro Bank
Abraxas Petroleum
Abrdn PLC
AcadeMedia
ACADIA Pharmaceuticals
Acadia Realty Trust
ACC Ltd
Accelerate Diagnostics
Acceleron Pharma
Accell
Accent Group
Acciona
ACCO Brands
Accor
Accuray
Acea
AcelRx Pharmaceuticals
Acerinox
Ackermans & Van Haaren
ACNB
Acom
Acorda Therapeutics
Acres Commercial Realty
Activision Blizzard
Acuity Brands
Adairs
Adani Green Energy
Adani group
Adani Ports and Special Economic Zone
Adapteo
Adapthealth
Adaptive Biotechnologies
Adbri
Addex Therapeutics
Addus Homecare
Adecco
Adevinta
Adidas
Adient
Aditya Birla
Adler Group
Adler Real Estate
ADMA Biologics
Admiral Group
Adobe
ADT
Adtalem Global Education
Advance Auto Parts
Advanced Drainage Systems
AdvanSix
Advantage Energy
AECOM
Aecon Group
Aedas Homes
Aedifica
Aegean Airlines
Aegon
Aena SME
Aeon
Aeon Mall
AerCap
Aerie Pharmaceuticals
Aeris Resources
Aeroports de Paris
AeroVironment
AES
Affiliated Managers Group
Affimed
Aflac
Africa Oil
Afry
AG Mortgage Investment Trust
AGC
AGCO
Ageas
Agenus
AGFA
Aggreko
Agilent Technologies
Agios Pharmaceuticals
AGL Energy
AGNC Investment
Agnico Eagle Mines
Agree Realty
Agricultural Bank of China
AIA Group
AIB
Aimia
Air Canada
Air China
Air France
Air Lease
Air New Zealand
Air Products and Chemicals
Air Transport Services Group
Air Water
Airbnb
Airbus
Airtel Africa
Aisin
AJ Bell
Ajinomoto
Akebia Therapeutics
Aker
Aker BP
Aker Solutions
Akerna
Akero Therapeutics
Akka Technologies
Akwel
Akzo Nobel
Alamo Group
Alamos Gold
Alaska Airlines
Albany International
Albemarle
Albertsons Companies
Albioma
Albireo Pharma
Alcanna
Alcoa
Alcon
ALD
Aldeyra
Alector
Alexander & Baldwin
Alexander's Inc
Alexandria Real Estate Equities
Alexion
Alfa Laval
Alfen
Algonquin Power & Utilities
Alibaba
Alibaba Health Information Technology
Alico
Align Technology
Alimentation Couche-Tard
Alkane Resources
Alkermes
Alleghany
Allegheny Technologies
Allegiant Travel
Allegion
ALLETE
Alliance Pharma
Alliance Resource Partners
AllianceBernstein Holding
Alliant Energy
Allianz SE
Allison Transmission 
Allogene Therapeutics
Allovir
Allscripts Healthcare Solutions
Allstate
Ally Financial
Almirall
Alnylam
Alpha Pro Tech
Google
Alphatec Holdings
ALS
Alstom
alstria office REIT
AltaGas
Altice
Altri SGPS
Altria 
Altura Mining
Altus Group
Alumina
Aluminum Corp of China
AMA Group
Amada Co
Amalgamated Bank
Amazon
Ambea
Ambu
Ambuja Cements
AMC Entertainment
AMC Networks
Amcor
Amedisys
Amerco
Ameren
Ameresco
American Airlines
American Axle & Manufacturing
American Campus Communities
American Eagle Outfitters
American Electric Power 
American Express
American Financial Group
American Homes 4 Rent
American International Group
American Public Education
American States Water
American Superconductor
American Tower
American Water Works
American Well
American Woodmark
America's CAR-MART
Americold
Ameriprise Financial
Ameris Bancorp
Amerisourcebergen
AMETEK
AMG Advanced Metallurgical Group
Amgen
Amicus Therapeutics
Amigo Holdings
AMN Healthcare Services
Amneal Pharmaceuticals
AMP Ltd
Amplifon
Amplify Energy
Ampol
Amundi
Amyris
ANA Holdings
Anavex Life Sciences
Andersons
Andritz
Angel Yeast
Angi
AngioDynamics
Anglo American PLC
Anhui Conch Cement
ANI Pharmaceuticals
Anika Therapeutics
Anima Holding
Annaly Capital Management
Ansell
ANTA Sports
Antares Pharma
Antero Midstream
Antero Resources
Anthem inc
Antofagasta
AO World
Aon
AP Moller-Maersk
APA Corp
APA Group
Apellis Pharmaceuticals
Aperam
APi Group
Apollo Commercial Real Estate Finance
Apollo Global Management
Apollo Hospitals Enterprise
Apple
Apple Hospitality REIT
Applied Therapeutics
Aptargroup
Aptiv
AquaBounty 
Aquafil
Aquestive Therapeutics
Aramark
ARB Corp
Arbor Realty Trust
Arbuthnot Banking Group
Arbutus Biopharma
ARC Resources
Arcadis
ArcBest
ArcelorMittal
Arch Resources
Archer Daniels Midland
Arconic
Arcturus Therapeutics
Arcus Biosciences
Ardagh Group
Ardent Leisure Group
Arena Pharmaceuticals
Ares Capital
Ares Management
Argan
argenx
Argonaut Gold
Aristocrat Leisure
Aritzia
Arjo
Arkema
Arlington Asset Investment
Armada Hoffler Properties
ARMOUR Residential REIT
Armstrong World Industries
Arnoldo Mondadori Editore
Aroundtown
Array Technologies
Arrow Financial
Arrow Global Group
Arrowhead Pharmaceuticals
Artesian Resources
Arthur J Gallagher & Co
Arvinas
Aryzta
Asahi Group
Asahi Kasei
Asbury Automotive Group
Ascendas India Trust
Ascendas Reit
Ascendis Pharma
Ascential
Ascopiave
Asensus Surgical
ASGN
Ashford Hospitality
Ashland
Ashmore Group
Ashok Leyland
Ashtead 
Asian Paints
Asics
ASOS
Aspen Group
ASR Nederland
Assa Abloy
Associated Bancorp
Associated British Foods
Assura
Assurant
Assystem
Astec Industries
Astellas Pharma
Aston Martin
AstraZeneca
Astronics
ASX
At Home Group
AT&T
Atara Biotherapeutics
Atco
Atento
Athabasca Oil
Athenex
Athersys
Atlantia
Atlantic Union Bankshares
Atlantica Sustainable Infrastructure
Atlas Air
Atlas Copco
Atmos Energy
Atresmedia
Atrion
Atrium Ljungberg
ATS Automation Tooling Systems
Attendo
Auckland International Airport
Audacy
Audi
Aumann
Aurinia Pharmaceuticals
Aurizon Holdings
Aurobindo Pharma
Aurora Cannabis
Aurubis
AusNet Services
Austal
Austevoll Seafood
Austin Engineering
Australia and New Zealand Banking Group
Australian Agricultural Company
Australian Ethical Investment
Australian Pharmaceutical Industries
Auto Trader 
Autobio Diagnostics
AutoCanada
Autogrill
Autohome
Autoliv
AutoNation
Autozone
Avalon Globocare
Avalonbay Communities
Avangrid
Avanos Medical
Avantor
Avenue Supermarts
Avery Dennison
Avient
Avis Budget Group
Avista
AVITA Medical
Aviva PLC
Avon Protection
AXA
Axalta Coating Systems
Axfood
Axis Bank
Axon Enterprise
Axonics
Axos Financial
Axsome Therapeutics
Azimut Holding
Azkoyen
Azure Power
AZZ
B Riley Financial
B&G Foods
B&M European Value Retail
B2Gold
Babcock
BAE Systems
BAIC Motor
Baidu
Bajaj
Baker Hughes
Balfour Beatty
Balkrishna Industries
Ball Corp
Ballard Power Systems
Bally's
Banc of California
Banca Generali
Banca IFIS
Banca Mediolanum
Banca Monte dei Paschi di Siena
BancFirst
Banco BPM
Banco Comercial Portugues
Banco de Sabadell
Banco Santander
Bancorp
BancorpSouth Bank
Bandhan Bank
Bandwidth inc
Bang & Olufsen
Bank First
Bank of America
Bank of Baroda
Bank of China
Bank of Communications
Bank of East Asia
Bank of Georgia
Bank of Greece
Bank of Hawaii
Bank of India
Bank of Ireland
Bank of Montreal
Bank of New York Mellon
Bank of Nova Scotia
Bank of Queensland
Bank of Shanghai
Bank Ozk
Bank7
Bankinter
BankUnited
Banner Corporation
Banque Cantonale Vaudoise
Baoshan Iron & Steel
Baozun
Bapcor
Barclays
Barnes & Noble
Barnes Group
Barratt Developments
Barrett Business Services
Barrick Gold
Barry Callebaut
Base Resources
BASF
Basic Energy Services
Basic Fit
Bata India
Bathurst Resources
Bausch Health Companies
Bavarian Nordic
BAWAG
Baxter International
Bayer
Baytex Energy
BayWa
BBVA
BCE
Beach Energy
Beacon Roofing Supply
Beam Therapeutics
Beazley
Becton Dickinson
Bed Bath & Beyond
