company names
"""ABB"""
"""Abbott"""
"""AbbVie"""
"""Accenture"""
"""Achmea"""
"""ACS"""
"""Aegon"""
"""AEON"""
"""Agricultural Bank of China"""
"""Ahold Delhaize"""
"""AIA Group"""
"""Airbus"""
"""Aisin"""
"""Albertsons"""
"""Alfresa"""
"""Alibaba """
"""Allianz"""
"""Allstate"""
"(""Alphabet"" OR ""Google"")"
"(""Aluminum Corp. of China"" OR ""Aluminium Corporation of China"")"
"""Amazon"""
"""Amer International"""
"""América Móvil"""
"""American Express"""
"""American International Group"""
"""AmerisourceBergen"""
"""Amgen"""
"""Anglo American"""
"""Anheuser-Busch InBev"""
"""Anhui Conch Group"""
"""Ansteel"""
"""Anthem"""
"""Apple"""
"""Aramco"""
"""ArcelorMittal"""
"""Archer Daniels Midland"""
"""Arrow Electronics"""
"""AstraZeneca"""
"""AT&T"""
"""Auchan"""
"""Aviation Industry Corp. of China"""
"""Aviva"""
"""AXA"""
"""BAE Systems"""
"""Banco Bradesco"""
"""Banco do Brasil"""
"""Banco Santander"""
"""Bank of America"""
"""Bank of China"""
"""Bank of Communications"""
"""Bank of Montreal"""
"""Bank of Nova Scotia"""
"""Barclays"""
"""BASF"""
"""Bayer"""
"""BBVA"""
"(""Beijing Automotive Group"" OR ""BAIC Group"")"
"(""Beijing Jianlong Heavy Industry Group"" OR ""Jianlong Group "")"
"""Berkshire Hathaway"""
"""Best Buy"""
"""Bharat Petroleum"""
"""BHP Group"""
"""BMW"""
"""BNP Paribas"""
"""Boehringer Ingelheim"""
"""Boeing"""
"""Bosch Group"""
"""Bouygues"""
"""BP"""
"""Bridgestone"""
"""Bristol-Myers Squibb"""
"""British American Tobacco"""
"""Brookfield Asset Management"""
"""BT Group"""
"""Bunge"""
"""Canon"""
"""Capital One Financial"""
"""Cardinal Health"""
"""Carrefour"""
"""Caterpillar"""
"(""Cathay Financial Holding"" OR ""Cathay Holding"")"
"""Cedar Holdings"""
"""Centene"""
"""Centrica"""
"""Charter Communications"""
"""ChemChina"""
"""Chevron Corporation"""
"""China Aerospace Science & Industry"""
"""China Aerospace Science & Technology"""
"(""China Baowu Steel Group"" OR ""Baosteel"")"
"""China Communications Construction"""
"""China Construction Bank"""
"""China Datang"""
